dice,iou,hd95,precision,recall,f1,class,stem
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3050)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4955)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (987)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1789)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3379)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2352)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1688)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3375)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2293)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (504)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1577)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3876)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (743)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4388)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1757)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (818)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (595)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4060)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2700)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1921)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1334)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3786)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1385)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2132)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1871)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1132)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4598)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (901)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2202)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (404)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4944)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1440)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (861)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3140)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1009)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1082)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4023)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3117)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2406)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4429)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4016)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4596)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (459)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2673)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (545)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2663)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1984)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1792)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (314)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2056)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4601)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3723)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2361)
